Taxon	min	max
Alfaroa_manningii	0	0
Allocasuarina_verticillata	0	0
Alnus_incana	0	48
Antiquocarya_verruculosa	70.6	85.8
Asterocarpinus_perplexans	32	35
Beardia_vancouverensis	47.8	55.8
Betula_pendula	0	48.6
Budvaricarpus_serialis	83.5	88.6
Calathiocarpus_minimus	86.3	91.1
Canacomyrica_monticola	0	0
Carpinus_betulus	0	50
Carya_ovata	0	37.2
Caryanthus_knoblochii	83.6	86.3
Cascadiacarpa_spinosa	47.8	56
Casholdia_microptera	55.8	58.7
Castanea_seguinii	0	48.6
Castanopsis_tibetana	0	44.1
Castanopsoidea_columbiana	47.8	55.8
Casuarina_equisetifolia	0	0
Ceuthostoma_terminale	0	0
Chrysolepis_sempervirens	0	0
Colombobalanus_excelsa	0	0
Comptonia_peregrina	0	48.6
Contracuparius_huntsvillensis	27.8	33.9
Corylus_avellana	0	50
Cranea_wyomingensis	55.8	58
Cruciptera_simpsonii	38.8	44.1
Cyclocarya_paliurus	0	61.6
Dahlgrenianthus_suecicus	70.6	85.8
Engelhardia_spicata	0	0
Fagopsis_longifolia	33.9	49
Fagus_sylvatica	0	48.6
Ferrignocarpus_bivalvis	45	50
Formanodendron_doichangensis	0	0
Gymnostoma_nobile	0	51.9
Hooleya_lata	43.5	44.1
Juglans_mandshurica	0	44
Lithocarpus_henryi	0	40
Manningia_crassa	72.1	86.3
Morella_cerifera	0	0
Myrica_gale	0	37.2
Normanthus_miraensis	65.5	83.5
Nothofagus_cunninghamii	0	1.8
Notholithocarpus_densiflorus	0	0
Ostrya_carpinifolia	0	33
Ostryopsis_davidiana	0	0
Palaeocarpinus_dakotensis	55.8	58.7
Paleooreomunnea_stoneana	37.2	48.6
Paleoplatycarya_wingii	52.5	52.7
Platycarya_strobilacea	0	55.8
Polyptera_manningii	57	64
Pseudofagus_idahoensis	15	16
Pterocarya_stenoptera	0	33.9
Quercus_rubra	0	44
Rhoiptelea_chiliantha	0	0
Ticodendron_incognitum	0	0
Trigonobalanoidea_americana	47.8	55.8
Trigonobalanus_verticillata	0	37.2
